Model,Accuracy,Balanced Acc,Precision,Recall,F1,ROC-AUC,PR-AUC
Model A: Price-Only,0.7559055118110236,0.5343770384866275,0.8720379146919431,0.8401826484018264,0.8558139534883721,0.5617742987606,0.8836249892856993
Model B: Text-Only,0.6456692913385826,0.5904761904761904,0.8957055214723927,0.6666666666666666,0.7643979057591623,0.5576647097195042,0.8851518881429087
Model C: Multimodal,0.7952755905511811,0.6292237442922375,0.8995215311004785,0.8584474885844748,0.8785046728971962,0.691846053489889,0.9315683875364763
Naive Baseline,0.8622047244094488,0.5,0.8622047244094488,1.0,0.9260042283298098,0.5,0.8622047244094488
